h_comment,h_date,h_name,h_rating,h_reviewer_name,h_title_comment
"Tôi đã đặt 1 phòng dulux hướng biển cho chuyến đi của mình. phòng  sạch sẽ, rộng và có view rất đẹp, nhân viên thân thiện, bữa sáng k nhiều nhưng cũng khá ngon. có nhiều khách Trung quốc lưu trú nên bên ngoài hành lang hơi ồn, khách sạn ở trong tòa nhà của chung cư  nên sẽ phải đi chung thang máy với cư dân ở đó. Tuy nhiên tôi thấy khách sạn rất tốt so với mức giá đó.",  thg 8 2019,Anrizon Hotel Nhatrang,ui_bubble_rating bubble_40,phuongvu2031995,RẤT TỐT
"Vị trí tuyệt vời. Có một phòng premier với ban công và các cửa sổ sàn đến trần nhà là một chút bẩn nhưng nó đã có một cái nhìn tuyệt vời. Chúng tôi rất ngạc nhiên khi căn phòng được xem là rất rẻ tiền. Ăn sáng đã được okay và các nhân viên đã được tốt đẹp Nhận phòng premier có ban công, thật tuyệt vời.",  thg 7 2018,Gosia Hotel,ui_bubble_rating bubble_40,keio s,Khách sạn lớn
"Khách sạn nằm ngay trung tâm nên rất thuận lợi đi lại, phòng đẹp, nhân viên thân thiện, nhiệt tình, Không khí thoáng đãng, sạch sẽ...mình và gia đình đã có kỳ nghỉ rất tuyệt vời, cảm ơn khách sạn. P/s: Nha Trang mấy ngày này lại thấy đẹp nhất đấy ạ.",  thg 2 2020,Khách Sạn Star City Nha Trang,ui_bubble_rating bubble_40,Minhha,Khách sạn tốt
"Khách sạn nằm ở góc ngã tư trung tâm khu phố Tây, cách biển khoảng hơn 100m, từ các tầng cao có thể nhìn thấy một phần biển (bị che khuất bởi 2 khách sạn cao tầng ở 2 góc của ngã tư). Nhân viên phục vụ tương đối thân thiện. Khách sạn mới xây dựng và đưa vào sử dụng nên nội thất mới tinh, tương đối hiện đại. Cách trang trí và vật liệu nội thất của khách sạn theo kiểu bền chắc, dễ sử dụng, không cầu kỳ về mỹ thuật. Không gian phòng đủ rộng. Nói chung, ở đây vị trí tốt, đi lại thuận tiện, nhiều nhà hàng bên cạnh, cảnh nhìn từ phòng hơi hạn chế, sẽ có khác nhiều phòng bị che khuất một góc tầm nhìn.",  thg 8 2015,LegendSea Hotel,ui_bubble_rating bubble_40,dangquang,"Vị trí thuận tiện, khách sạn mới xây"
"Bạn bè giới thiệu khách sạn này cho tôi (gia đình, mẹ, bố và 9 tuổi) và tôi cảm thấy e ngại vì thời gian lưu trú ba ngày chỉ là một chạm trên 20 GBP mỗi ngày. Tuy nhiên, phòng của chúng tôi đã có sẵn tại 13. 00 và tôi hài lòng nhất với tiêu chuẩn của phòng và phòng tắm. Chiếc giường thoải mái, kích thước phòng đủ, với một ban công nhỏ, và phòng tắm được trang bị theo tiêu chuẩn khá cao. Bữa sáng, thoạt nhìn, không quá ấn tượng bởi vì, với tư cách là một người Anh (mặc dù tôi đã không sống ở đó bốn mươi năm), tôi vẫn khao khát một Joe béo ngậy, nhưng khi tôi nhận ra mình là người không phải là người Nga duy nhất Khách sạn, tôi đã gọi món thịt nguội, phô mai, pate và sa lát (với ô liu và gerkins để giết) và thưởng thức triệt để bốn đĩa ăn sáng của tôi. Hồ bơi, mặc dù nhỏ, nằm trên",  thg 3 2020,LegendSea Hotel,ui_bubble_rating bubble_40,Meuok,MỘT GIA ĐÌNH SATISFIED ....
"Khách sạn sạch sẽ và nằm ở trung tâm. Thức ăn cách đó vài bước và bãi biển cách đó vài bước. Một vấn đề với khách sạn là đồ ăn sáng. Tôi không mong đợi nhiều từ bất kỳ bữa tiệc buffet nào, bất kể tôi đi đâu, nhưng điều này thật kinh khủng. Không có gì có vẻ tươi. Bánh kếp / bánh quế phải ra quá lâu - chúng là cao su. Thịt xông khói trông giống như nó đã chết một vài lần trước khi nấu chín - hoặc vào một ngày khác, nó không được nấu đủ. Các món ăn họ đã phục vụ rất nhiều cho các món ngon của Nga vì khách du lịch chính ở Nha Trang là người Nga - nếu bạn đang tìm kiếm một Bữa sáng phương Tây, đây không phải là nơi bạn sẽ tìm thấy. Những người dọn dẹp dường như cũng dọn phòng muộn. Chúng tôi ở tầng 9 Đôi khi chúng tôi sẽ trở về phòng lúc 2 giờ chiều và nó vẫn không sạch. Không chắc",  thg 2 2020,LegendSea Hotel,ui_bubble_rating bubble_30,128anaz,Chuyến đi Việt Nam tháng 2 năm 2020
Nhân viên chu đáo nhiệt tình. phòng thoáng sạch chất lượng khá ổn. View đẹp.  Bất tiện nhất là khá xa trung tâm thành phố nên di chuyển vào thành phố phải mất thời gian. Nhưng bù lại có bãi biển khá đẹp. sẽ quay lại lần sau,  thg 11 2022,Mia Resort Nha Trang,ui_bubble_rating bubble_40,Quan Ho,đươc
Khách sạn mới- sạch sẽ- nhân viên thân thiệt nhiệt tình. Cả gđ mình đi cảm thấy rất thoải mái khi ở đây. Có phòng gđ thông nhau rất tiện lợi. Ăn sáng phong phú nhà hàng ăn OK. Đi ra biển chỉ mất 3-5p đi bộ! Nói chung nếu quay lại gđ mình tiếp tục ở KS 👌👌,  thg 7 2020,Stay 7 International Nha Trang,ui_bubble_rating bubble_40,Khánh virgo,Gia đình vui vẻ!
"Chưa bao giờ cảm thấy thất vọng với 1 khách sạn 5 sao như vậy. Đặt phòng đợi mãi 1 tuần không thèm xác nhận, gọi điện hỏi thì trả lời trống không như bố mẹ của khách hàng vậy, kiểu như bên tao nhiều khách lắm, mày chờ được thì chờ, không thì đi chỗ khác. Không lẽ 1 khách sạn tầm quốc tế vậy không training nổi cho nhân viên được sao. Đừng bao giờ coi thường khách hàng dù chỉ là 1 phần nhỏ trong số hàng ngàn khách hàng Trung Quốc của các bạn.",  thg 5 2020,InterContinental Nha Trang,ui_bubble_rating bubble_10,Tinh79,Nhân viên quá tệ.
"Cách phục vụ không ổn. Kém tôn trọng khách hàng. Đổ lỗi các bộ phận lẫn nhau. Khi khách gọi phản ánh, kém lịch sự, thể hiện thái độ khinh miệt khách hàng. Quá đáng. Không bao giờ sử dụng dịch vụ nếu không được giải quyết thoả đáng",  thg 1 2019,InterContinental Nha Trang,ui_bubble_rating bubble_10,Vole.anhhong1707,Phản cảm cách ứng xử của nhân viên
"1.Mặt tiền chưa bắt mắt dù là ks 5 sao. 2. Dịch vụ ok, nhân viên nhiệt tình 3. Bữa sáng tốt, đặc biệt bún bò 4. Hồ bơi đẹp nhưng hơi sâu 5. Phòng đẹp, tiện nghi, nhưng giường bổ sung hơi đau lưng 6. Phòng cảm giác có mùi lạ chỗ giường gần nhà vệ sinh",  thg 9 2022,Boton Blue Hotel & Spa,ui_bubble_rating bubble_40,Toàn phạm,Đi du lịch
mọi thứ khác tại khách sạn đều rất tốt. Hồ bơi trông rất hấp dẫn. Các phòng đều rộng rãi và thoải mái. Nhìn chung là một lựa chọn tuyệt vời cho khách du lịch giải trí:)  Ăn sáng không đủ ăn ngon khi chúng tôi đến 9 giờ 00 sáng Cảm ơn chị Ngân (saler) và cảm ơn vì dịch vụ tốt nhất! Chúng tôi chắc chắn sẽ ở lại đó một lần nữa.,  thg 6 2018,Gosia Hotel,ui_bubble_rating bubble_40,mrluu,đi du lịch
"Chỉ ở lại một đêm. Chúng tôi đạp xe xuống từ Đà Lạt nên đến khá nóng và mệt mỏi. Rất hân hạnh chào đón nhân viên văn phòng phía trước, hiện lên phòng của chúng tôi trên tầng 14. . . rất rộng rãi, có vẻ tốt. . . tắm nhanh và tắt để xoa dịu cơn đau trong hồ bơi trên tầng 21. Thực sự mong chờ một ly bia lạnh ở quầy bar bên hồ bơi. . . cũng được quảng cáo, nhưng không chạy. Đi xuống cầu thang để ăn tối. . . một lần nữa trong khi nhà hàng được quảng cáo thì nó không chạy. Đã có một bữa ăn OK xuống đường. Nha Trang có cảm giác giống như ""Moscow On Sea""? Rất mong nhận được một giấc ngủ ngon trên chiếc giường lớn nhất mà chúng tôi đã thấy ở Việt Nam, để thấy rằng tấm trải giường / chăn bông chỉ mở rộng nửa đường lên giường. . . không có nghi ngờ một tấm trên mặt của nó để phù hợp với",  thg 4 2018,Gosia Hotel,ui_bubble_rating bubble_40,TheGrebes,"Tốt, nhưng không hoàn toàn như quảng cáo"
"Nếu được chọn 0* thì tôi sẽ cho 0* Dịch vụ của khách sạn quá tệ, Là ks 4* nhưng nhân viên ko chuyên nghiệp, vệ sinh không sạch sẽ,( cống buồn tắm nghẹt, lần tắm đầu tiên xong tôi phải tự dọn cống, xà bông tắm thì phòng có phòng không,)tủ lạnh trống không, biil để giá 2 lon coca 15k, 2 mì ly 15k ( hình ảnh phía dưới) nhưng kêu 10 coca và 10 mì ly, tổng giá 430k, nhân viên không ghi bill và giải thích là vì dịch. Wifi thì chập chờn, quá yếu Bữa ăn thì quá tệ, dù là phục vụ khách cách ly, nhưng phí trả hơn 1tr/1nguoi/1 ngày. 1 phòng ở 2 người là tiền phòng đã hơn 2tr. Đắt hơn rất nhiều lần nhưng không có dịch vụ gì, xuất ăn 200k/ngày  nhưng quá tệ, tệ về số lượng cả chất lượng, =>một đầu bếp không có tay nghề gì, có khách phát hiện thức ăn có dòi, 1 lần 2 lần rồi 3 lần... Nhưng cách trả lời của quản lý và chủ khách sạn khi báo chí phỏng vấn là khách nuôi dòi rồi bỏ vào đồ ăn hại khách sạn.( Ảnh chụp màn hình bên dưới) một mặt thì nói xin lỗi khách, một mặt thì tố khách hại ks( Khách vừa về cách ly 3 ngày thì lấy dòi đâu mà bỏ vào đồ ăn, cũng không có thù oán gì sao phải hại ks,) ( nếu nuôi được dòi trong khách sạn thì khâu vệ sinh và khử trùng hàng ngày của khách sạn như thế nào) Chỉ nói đến đây thôi, là biết chủ và hệ thống ở khách sạn như thế nào, Nhưng dù sao thì cũng cảm ơn vì đã cho tôi cái chỗ để ở khi cách ly. Cho 1* và say goodbye.",  thg 5 2021,Ventana Nha Trang Hotel,ui_bubble_rating bubble_10,Nguyenly,"Một khách sạn tệ nhất tôi từng ở, thua cả 1 nhà nghĩ bình dân"
"Bữa cơm trưa cách ly ngày thứ 7 Ngày lễ 30-4 mà các cô cho các cháu ăn thế này là hỏng rồi Nhưng bữa trước đã không thèm làm chuyện nhưng cứ tiếp tục vậy thì ai mà chịu cho dk Là khách sạn đứng ra nhận phần lớn là mẹ bầu và các trẻ em sơ sinh trên chuyến QH 9413 từ Nhật Bản về. Mọi người đều bỏ ra 1 số tiền ko nhỏ chỉ mong được về việt nam và muốn nhận lại sự phục vụ và bữa cơm đúng vs số tiền mình bỏ ra mà bây h nhận lại là những bữa cơm thế này đây ak  Khách sạn 4 sao nhé mn  Mn vào cho e xin 1 đánh giá khách quan với 1 lần chia sẻ đề ai có đi du lịch ở đây còn biết đường né cái khách sạn này ra ạk🤨🤨  Khách sạn Ventana Nha Trang Địa chỉ: 127-5 Nguyễn Thiện Thuật, Tân Lập , Thành phố Nha Trang , Tỉnh Khánh Hoà Chủ khách sạn: chị  Phạm Thị Thanh",  thg 4 2021,Ventana Nha Trang Hotel,ui_bubble_rating bubble_10,Phan,how to treat customers too badly
"Tôi và hơn 200 người khác từ Nhật Bản về Việt Nam được chính phủ Việt Nam cho cách ly ở Khách Sạn Sao Việt 4sao . Đóng hết tất cả là 18.500.000 VNĐ . Bữa sáng 50.000 VNĐ , bữa trưa và bữa tối là 150.000VNĐ . Vậy mà mấy ngày đầu ở cơm thì sống và khó ăn , còn không bằng xuất cơm bình dân 20.000 VNĐ . Có hôm sáng món cá , tối cũng món cá , khách sạn không thay đổi gì . Phục vụ thì vào phòng quét quét qua qua 1 phút rồi đi ra , ga giường thì không thay gì cả , bảo với nhân viên thì họ bảo mai mai . 1 tuần rồi cũng k thay đổi gì . Quá thất vọng",  thg 11 2020,Khách sạn Sao Việt,ui_bubble_rating bubble_10,Cường Đinh,"Về Việt Nam cách ly và cả khách sạn cũng ""cách ly"" luôn"
"Căn phòng thật đáng yêu - rộng rãi, sạch sẽ, ánh sáng tốt, không gian quần áo tốt, sàn gỗ đẹp, giường tuyệt vời, phòng tắm - ngoại trừ một điều. TV rất kém - tiếp nhận kém, chủ yếu là các kênh tiếng Việt và không có kênh tin tức tiếng Anh nào ngoài Pháp 24. Điều này hầu như không quan trọng bởi vì chúng tôi đã không đi nghỉ để xem TV, nhưng thật tuyệt khi bắt được các tiêu đề tin tức trên BBC hoặc CNN hoặc đã có một loạt các kênh phim. Các bữa ăn sáng tự chọn là đầy đủ nhưng không ngoạn mục. Tôi rất thích món trứng tráng mới nấu và bánh mì nâu nướng cùng với trái cây, nhưng phạm vi thực phẩm có sẵn bị hạn chế. Ngoài ra, có một sự khác biệt giữa thỏa thuận khách sạn được in không có bữa sáng tự chọn miễn phí và thực tế - bữa sáng tự chọn miễn phí. Các nhân viên tiếp tân rất thân",  thg 12 2019,LegendSea Hotel,ui_bubble_rating bubble_40,Kevin M,Phòng đáng yêu ...
"Legend Sea Hotel có vị trí tốt gần bãi biển, rất nhiều nhà hàng và chỉ cách hai trung tâm mua sắm 10 phút đi bộ. Phòng của chúng tôi rất tuyệt với ban công nhìn thẳng xuống đường ra bãi biển và không khí làm mát căn phòng rất tốt khiến cho việc ngủ trở nên dễ dàng. Lựa chọn vào bữa sáng là tốt nhưng bánh xèo sẽ được nấu tốt hơn để đặt hàng, với một cái nhìn tuyệt vời ra đường để bạn có thể mọi người và xem giao thông trong khi ăn sáng. Hồ bơi nằm trên nóc tòa nhà là một nơi tuyệt vời để thư giãn mặc dù hơi ấm áp nhưng có tầm nhìn tuyệt vời. Khách sạn cần một chút công việc về diện mạo và một số khía cạnh của dịch vụ khách hàng mà tôi đã tư vấn cho ban quản lý khách sạn. Tôi sẽ ở lại khách sạn Legend Seas một lần nữa chứ? VÂNG.",  thg 7 2019,LegendSea Hotel,ui_bubble_rating bubble_40,Dunns_on-the-move,Vị trí tốt
"Phòng ốc rất tiện dụng và sạch sẽ, nhân viên phục vụ rất nhẹ nhàng và nhiệt tình. Nhưng đồ ăn thì rất tệ, chúng tôi phải ăn chả cá rất nhiều trong thực đơn, đồ ăn rất eo hẹp về menu, ăn sáng chỉ toàn những món nc và ko hề thay đổi những món khác. Đồ ăn trưa và tối nhiều lúc thật sự ko thể nuốt đc. Vì đồ ăn nhiều lúc quá khô khan, nhiều món ăn như thịt kho thì cục thịt chỉ có 1 phần thịt 7 phần mỡ làm sao ăn đc.",  thg 9 2021,Ariyana SmartCondotel Nha Trang,ui_bubble_rating bubble_10,Dopezun,Cách li về từ Nhật Bản 11.9.2021
"InterContinental Nha Trang là một khách sạn thực sự rất đẹp và nhân viên tại khách sạn đều rất chuyên nghiệp và nhiệt tình. Cơ quan tôi đã tổ chức Event tại đây 2 năm liền.  Tuy nhiên tôi cũng muốn nêu lên 1 vấn đề về Business Development Manager không tôn trọng khách. mấy ngày trước tôi có gọi cho Ms. H - Business Development Mangager về đặt phòng cho đoàn, tuy nhiên cô này đã có thái độ ko tôn trọng khách hàng (tôi rất muốn trao đổi với lãnh đạo quản lý cấp cao hơn về viêc này). Điều này khiến tôi thực sự thất vọng.",  thg 5 2017,InterContinental Nha Trang,ui_bubble_rating bubble_40,NgocBao L,Khách sạn tuyệt vời nhưng Business Development Manager không tôn trọng khách
"Nhân viên ks không thân thiện cho lắm, mặc dù ks nhiều phòng trống nhưng ko cho mình check in sớm dù có con nhỏ, trước khi về mình còn 1 cái bát chưa rửa nhân viên ks yêu cầu mình trả 200k phí rửa bát, thật không thoả đáng, trải niệm ko vui chút nào, trở lại nữa không:  No WAY",  thg 7 2020,Ariyana SmartCondotel Nha Trang,ui_bubble_rating bubble_10,Ngoc P,Không xứng tầm 5 sao
"Đã ở đây 3 đêm cùng gia đình. Nhìn chung, không thấy ấn tượng lắm. Không được chào đón lúc check in, hành lý cũng tự mang vào sảnh. Phòng khá giống trên website đặt, tuy nhiên, không rõ ràng lắm về chính sách dùng các vật dụng trong phòng. Nhân viên không friendly, không attentive, không caring. Suốt quá trình ở, gia đình không được hỏi thăm... Không enjoyed thật sự khi ở đây. ",  thg 11 2019,Ariyana SmartCondotel Nha Trang,ui_bubble_rating bubble_30,King,Not a really great experience
"Wifi ở khách sạn này kém kinh khủng, năm 2019 rồi mà mạng thậm chí còn không thể vào nổi facebook. Các bạn khác nếu du lịch nha trang kiểu sáng đi tối về thì có thể xài tạm 3g, chứ còn đi kiểu 3-4 ngày thì tốt nhất là nên lựa chọn chỗ khác, lễ tân khách sạn này cũng khá là impolite. Cũng thông cảm cho họ vì suốt ngày phải tiếp khách trung quốc với Nga thì mặt họ làm sao mà giãn ra được.",  thg 11 2019,Ariyana SmartCondotel Nha Trang,ui_bubble_rating bubble_10,Tuanhl,Trải nghiệm tồi tệ
